product_id,title,subtitle,description,category,url,price,weight,images,consume_advice,ingredients,nutritional values,allergens,vegan,price per kilo,product_availability
the-hide-and-seek-box,HIDE-AND-SEEK BOX - 75% Dark & 45% Milk Chocolate,Pure Chocolate & Mendiant Chocolate,"Inside this playful and elegant box, you'll find eight hexa-birds to slip each into their packet (using the supplied pair of gloves) before hiding them inside or outside for an unforgettable Easter Flight. Ducks, geese, woodpeckers and peacocks in dark, milk and mendiant chocolate fly away: it's up to you to find them ! And don t forget, the early bird catches the worm, so hurry!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/the-hide-and-seek-box,£48.33,300g,"['https://www.lechocolat-alainducasse.com/uk/4074/the-hide-and-seek-box.jpg', 'https://www.lechocolat-alainducasse.com/uk/4192/the-hide-and-seek-box.jpg', 'https://www.lechocolat-alainducasse.com/uk/4076/the-hide-and-seek-box.jpg', 'https://www.lechocolat-alainducasse.com/uk/4112/the-hide-and-seek-box.jpg']",At its most delicious within 6 weeks of purchase,"Fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé, Sumba), sucre de canne, beurre de cacao, AMANDES (8%), NOISETTES (8%), LAIT en poudre, eau, émulsifiant: lécithine de tournesol, fleur de sel.","(pour 100g): Valeur énergétique: 2327kJ/560kcal; Matières grasses: 38g (dont acides gras saturés: 21g); Glucides: 38g (dont sucres: 33g); Protéines: 13g; Sel: 0,18g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£161.11 / kg,Available in whole UK
oeuf-facette,FACETED EGG - 75% Dark & 45% Milk Chocolate,Almond & Hazelnut Praliné,"Under the creative eye and talented hands of our designers and chocolate makers, the Easter egg becomes a work of art, sculpted on one side with a multitude of hexagons, like the facets of a precious stone, and adorned on the other with our embossed signature. This exceptional creation in chocolate and almond-hazelnut pralin  offers a unique texture. A milk side and a dark side, you no longer have to choose one or the other!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/oeuf-facette,£35.00,200g,"['https://www.lechocolat-alainducasse.com/uk/4135/oeuf-facette.jpg', 'https://www.lechocolat-alainducasse.com/uk/4187/oeuf-facette.jpg']",At its most delicious within 6 weeks of purchase,"Sucre de canne, fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé), AMANDES (10%), NOISETTES (10%), LAIT en poudre, beurre de cacao, eau, fleur de sel, émulsifiant: lécithine de tournesol.","(pour 100g): Valeur énergétique: 2231kJ/536kcal; Matières grasses: 35g (dont acides gras saturés: 17g); Glucides: 40g (dont sucres: 35g); Protéines: 12g; Sel: 0,29g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£175.00 / kg,Available in whole UK
4-easter-eggs-praline,4 Easter eggs - Praliné - 75% Dark & 45% Milk Chocolate,,"The birds have flown away, but not before leaving an unexpected and delicious Easter gift in their nest. Inside this lovely box: the promise of a wonderful pralin  tasting! 4 eggs in their shells, to be peeled to discover their recipe: almond, coconut, hazelnut and cocoa nibs, our old-fashioned pralin s are on parade!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/4-easter-eggs-praline,£28.33,200g,"['https://www.lechocolat-alainducasse.com/uk/4092/4-easter-eggs-praline.jpg', 'https://www.lechocolat-alainducasse.com/uk/4188/4-easter-eggs-praline.jpg', 'https://www.lechocolat-alainducasse.com/uk/2541/4-easter-eggs-praline.jpg']",At its most delicious within 4 weeks of purchase,"Almonds, Hazelnuts, Cocoa beans (Peru, Madagascar, Sao Tome, Ecuador), Cocoa butter, Coconut, Crêpe dentelle (Wheat, sugar, Butter (Milk), Sunflower oil, Milk (France), Barley malt, salt), water, Milk (France), Flower of salt, sunflower lecithin. May contain traces of eggs, peanuts, sesame and soy. Min 45% of cocoa.","(for 100g): Energy: 2497 kJ/602 kcal; Fat: 47g of which saturated fatty acids: 15g; carbohydrates: 27g of which sugar: 25g; Protein: 14g; Salt: 0,28g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£160.00 / Kg,Available in whole UK
hexa-milk-chocolate-woodpecke,HEXA-WOODPECKER - 45% Milk Chocolate,Seeds Praliné,"Welcome to the elegant woodpecker and its sweet beak instead of a sweet tooth! Coated in Madagascar 45% milk chocolate, its singular pralin  is inspired by the seeds nibbled by our woodpecker friend. Sunflower seeds, pine nuts, raisins and pistachios offer a subtle blend of flavors for gourmets who never want to be bored.",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/hexa-milk-chocolate-woodpecke,£14.17,65g,"['https://www.lechocolat-alainducasse.com/uk/4062/hexa-milk-chocolate-woodpecke.jpg', 'https://www.lechocolat-alainducasse.com/uk/4134/hexa-milk-chocolate-woodpecke.jpg']",At its most delicious within 6 weeks of purchase,"Beurre de cacao, sucre de canne, NOISETTES (12%), PISTACHES (12%), raisins de corinthe (12%), pignons de pin (9%), fèves de cacao (Madagascar), LAIT en poudre, graines de tournesol (3%), AMANDES (1,6%), eau, fleur de sel, émulsifiant: lécithine de tournesol.","(pour 100g): Valeur énergétique: 2547kJ/615kcal; Matières grasses: 51g (dont acides gras saturés: 18g); Glucides: 26g (dont sucres: 23g); Protéines: 10g; Sel: 0,10g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£217.95 / kg,Available in whole UK
chick-milk-chocolate-bar,CHICK CHOCOLATE BAR - 45% Milk Chocolate,Guérande fleur de sel,"Can you hear the sweet chirping of our charming chicks flocks? Made from Madagascar 45% milk chocolate and sprinkled with Gu rande sea salt, this irresistible bar can be crunched endlessly. At coffee time, tea time, or even breakfast time, it brings everyone together around its slightly tangy notes.",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/chick-milk-chocolate-bar,£10.83,75g,"['https://www.lechocolat-alainducasse.com/uk/4070/chick-milk-chocolate-bar.jpg', 'https://www.lechocolat-alainducasse.com/uk/4071/chick-milk-chocolate-bar.jpg']",At its most delicious within 6 weeks of purchase,"Sucre de canne, fèves de cacao (Madagascar), LAIT en poudre, beurre de cacao, fleur de sel, émulsifiant: lécithine de tournesol. Cacao: 45% min.","(pour 100g): Valeur énergétique: 2148kJ/515kcal; Matières grasses: 30g (dont acides gras saturés: 23g); Glucides: 46g (dont sucres: 42g); Protéines: 13g; Sel: 2,1g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£144.44 / kg,Available in whole UK
the-dark-chocolate-chick,CHICK - 75% Dark Chocolate,,"With its refined, graphic lines, the smallest bird of our Easter Flight competes with the biggest through its unmatched charm. Made from Signature Blend 75% dark chocolate, our chick is so cute we could just eat it up!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/the-dark-chocolate-chick,£5.00,25g,"['https://www.lechocolat-alainducasse.com/uk/4068/the-dark-chocolate-chick.jpg', 'https://www.lechocolat-alainducasse.com/uk/4193/the-dark-chocolate-chick.jpg', 'https://www.lechocolat-alainducasse.com/uk/4069/the-dark-chocolate-chick.jpg']",At its most delicious within 6 weeks of purchase,"Fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé), sucre de canne, beurre de cacao, fleur de sel, émulsifiant: lécithine de tournesol. Cacao : 75% Min.","(pour 100g): Valeur énergétique: 2427kJ/585kcal; Matières grasses: 44g (dont acides gras saturés: 28g); Glucides: 34g (dont sucres: 25g); Protéines: 8,6g; Sel: 0,03g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",Yes,£200.00 / kg,Available in whole UK
peacock-milk-chocolate-box,PEACOCK CHOCOLATE BOX - 45% Milk Chocolate,24 Easter Treats & Praliné Pépites,"Featuring on one of our most splendid creations, the king of birds leads the way in our Easter Flight! This year, our Chocolate Box showcases a majestic peacock whose feather headdress shelters a real pralin  treasure. A playful & impressive creation: equipped with cotton gloves, it's up to you to put together the Madagascar 45% milk chocolate base and lid, without forgetting to hide the coconut pralin  bells and hazelnut & caramel pralin  p pites inside! Open, take a bite, close, spread your wings and take another bite!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/peacock-milk-chocolate-box,£55.00,440g,"['https://www.lechocolat-alainducasse.com/uk/4077/peacock-milk-chocolate-box.jpg', 'https://www.lechocolat-alainducasse.com/uk/4190/peacock-milk-chocolate-box.jpg', 'https://www.lechocolat-alainducasse.com/uk/4078/peacock-milk-chocolate-box.jpg']",At its most delicious within 6 weeks of purchase,"Sucre de canne, fèves de cacao (Madagascar), beurre de cacao, LAIT en poudre, NOISETTES (8%), AMANDES (4%), noix de coco râpée (3%), crème liquide (LAIT), eau, sirop de glucose, fleur de sel, émulsfiant: lécithine de tournesol, gousses de vanille (Madagascar).","(pour 100g): Valeur énergétique: 2364kJ/568kcal; Matières grasses: 40g (dont acides gras saturés: 21g); Glucides: 40g (dont sucres: 37g); Protéines: 10g; Sel: 0,32g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£125.00 / kg,Available in whole UK
chick-dark-chocolate-bar,CHICK CHOCOLATE BAR - 75% Dark Chocolate,Guérande fleur de sel,"Can you hear the sweet chirping of our charming chicks flocks? Made from Signature Blend 75% dark chocolate and sprinkled with Gu rande sea salt, this irresistible bar can be crunched endlessly. At coffee time, tea time, or even breakfast time, it brings everyone together around its slightly tangy notes.",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/chick-dark-chocolate-bar,£10.83,75g,"['https://www.lechocolat-alainducasse.com/uk/4072/chick-dark-chocolate-bar.jpg', 'https://www.lechocolat-alainducasse.com/uk/4073/chick-dark-chocolate-bar.jpg']",At its most delicious within 6 weeks of purchase,"Fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé), sucre de canne, beurre de cacao, fleur de sel, émulsifiant: lécithine de tournesol. Cacao: 75% min.","(pour 100g): Valeur énergétique: 2359kJ/569kcal; Matières grasses: 42g (dont acides gras saturés: 28g); Glucides: 34g (dont sucres: 25g); Protéines: 9,0g; Sel: 1,9g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",Yes,£144.44 / kg,Available in whole UK
77-size-150g,Easter Treats - 45% Milk Chocolate,,"Now iconic, our chocolate miniatures are irresistible: with their sleek lines, our bunnies, hens and eggs make very elegant and charming treats! The milk chocolate used is our Madagascar 45%, offering a deliciously melt-in-the-mouth texture with round, fruity notes.",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/easter-treats-milk#/77-size-150g,£11.67,from 150g,"['https://www.lechocolat-alainducasse.com/uk/4108/easter-treats-milk.jpg', 'https://www.lechocolat-alainducasse.com/uk/4109/easter-treats-milk.jpg']",This product is best eaten within 12 months of purchase,"Sugar, powdered milk, cocoa butter, cocoa beans, emulsifier: non-GMO sunflower lecithin, vanilla pods, fleur de sel, almonds, shredded coconut, hazelnuts. Bell (coconut praliné), egg (almonds praliné), shellfish (hazelnut praliné). Cocoa : 45% minimum","For 100g: Energy 2284kJ/549kcal ; Fat: 37g (incl. Saturated fats: 22g) ; Carbohydrates: 42g (incl. saturated fats: 41g) ; Protein: 9,7g ; Salt: 0,32g","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,,Available in whole UK
the-chocolate-lamb,LAMB - 75% Dark & 45% Milk Chocolate,12 Praliné Easter Treats,"Here we say ""gentle as a chocolate Lamb""! Because there's nothing gentler and sweeter than this two-tone honeycomb pattern woolen coat that conceals delicious treats. Almond, hazelnut and coconut: our little eggs, shellfish and bells are unbelievingly tasty!",Easter chocolates,https://www.lechocolat-alainducasse.com/uk/the-chocolate-lamb,£34.17,300g,['https://www.lechocolat-alainducasse.com/uk/4081/the-chocolate-lamb.jpg'],At its most delicious within 6 weeks of purchase,"Fèves de cacao (Equateur, Madagascar, Pérou, Sao Tomé), sucre de canne, beurre de cacao, AMANDES (7%), LAIT en poudre, NOISETTES (4%), noix de coco râpée (2%), eau, fleur de sel, émulsifiant: lécithine de tournesol.","(pour 100g): Valeur énergétique: 2530kJ/609kcal; Matières grasses: 43g (dont acides gras saturés: 24g); Glucides: 40g (dont sucres: 35g); Protéines: 12g; Sel: 0,24g.","All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£113.89 / kg,City of London Area Only - This product is only available for courier delivery in London.
